chromosome	start	end	region_name
chr10	12196187	12196189	chr10_12196187_12196189_predictions
chr10	121975216	121975218	chr10_121975216_121975218_predictions
chr10	121989162	121989164	chr10_121989162_121989164_predictions
chr10	122271295	122271297	chr10_122271295_122271297_predictions
chr10	122374707	122374709	chr10_122374707_122374709_predictions
chr10	122454652	122454654	chr10_122454652_122454654_predictions
chr10	122461552	122461554	chr10_122461552_122461554_predictions
chr10	122560753	122560755	chr10_122560753_122560755_predictions
chr10	122672849	122672851	chr10_122672849_122672851_predictions
chr10	122699845	122699847	chr10_122699845_122699847_predictions
chr10	122845856	122845858	chr10_122845856_122845858_predictions
chr10	122879580	122879582	chr10_122879580_122879582_predictions
chr10	122910609	122910611	chr10_122910609_122910611_predictions
chr10	122954226	122954228	chr10_122954226_122954228_predictions
chr10	122980400	122980402	chr10_122980400_122980402_predictions
chr10	123008794	123008796	chr10_123008794_123008796_predictions
chr10	123009005	123009007	chr10_123009005_123009007_predictions
chr10	123135969	123135971	chr10_123135969_123135971_predictions
chr10	123148135	123148137	chr10_123148135_123148137_predictions
chr10	123154401	123154403	chr10_123154401_123154403_predictions
chr10	12349546	12349548	chr10_12349546_12349548_predictions
chr10	123666354	123666356	chr10_123666354_123666356_predictions
chr10	123891806	123891808	chr10_123891806_123891808_predictions
chr10	124093597	124093599	chr10_124093597_124093599_predictions
chr10	124418922	124418924	chr10_124418922_124418924_predictions
chr10	124450034	124450036	chr10_124450034_124450036_predictions
chr10	124461822	124461824	chr10_124461822_124461824_predictions
chr10	124744377	124744379	chr10_124744377_124744379_predictions
chr10	124791886	124791888	chr10_124791886_124791888_predictions
chr10	124801818	124801820	chr10_124801818_124801820_predictions
chr10	124942122	124942124	chr10_124942122_124942124_predictions
chr10	125028070	125028072	chr10_125028070_125028072_predictions
chr10	125683162	125683164	chr10_125683162_125683164_predictions
chr10	125719708	125719710	chr10_125719708_125719710_predictions
chr10	125775820	125775822	chr10_125775820_125775822_predictions
chr10	125823257	125823259	chr10_125823257_125823259_predictions
chr10	125823545	125823547	chr10_125823545_125823547_predictions
chr10	125881291	125881293	chr10_125881291_125881293_predictions
chr10	125896563	125896565	chr10_125896563_125896565_predictions
chr10	126388476	126388478	chr10_126388476_126388478_predictions
chr10	126670692	126670694	chr10_126670692_126670694_predictions
chr10	126905427	126905429	chr10_126905427_126905429_predictions
chr10	127196590	127196592	chr10_127196590_127196592_predictions
chr10	127549308	127549310	chr10_127549308_127549310_predictions
chr10	127737184	127737186	chr10_127737184_127737186_predictions
chr10	127892940	127892942	chr10_127892940_127892942_predictions
chr10	127907102	127907104	chr10_127907102_127907104_predictions
chr10	128126422	128126424	chr10_128126422_128126424_predictions
chr10	129467240	129467242	chr10_129467240_129467242_predictions
chr10	129964273	129964275	chr10_129964273_129964275_predictions
chr10	13001712	13001714	chr10_13001712_13001714_predictions
chr10	130110829	130110831	chr10_130110829_130110831_predictions
chr10	130136390	130136392	chr10_130136390_130136392_predictions
chr10	13100162	13100164	chr10_13100162_13100164_predictions
chr10	131311720	131311722	chr10_131311720_131311722_predictions
chr10	13161557	13161559	chr10_13161557_13161559_predictions
chr10	131901007	131901009	chr10_131901007_131901009_predictions
chr10	131981922	131981924	chr10_131981922_131981924_predictions
chr10	132065945	132065947	chr10_132065945_132065947_predictions
chr10	132186947	132186949	chr10_132186947_132186949_predictions
chr10	132307949	132307951	chr10_132307949_132307951_predictions
chr10	132332192	132332194	chr10_132332192_132332194_predictions
chr10	13234373	13234375	chr10_13234373_13234375_predictions
chr10	132397199	132397201	chr10_132397199_132397201_predictions
chr10	132537786	132537788	chr10_132537786_132537788_predictions
chr10	132786146	132786148	chr10_132786146_132786148_predictions
chr10	132942569	132942571	chr10_132942569_132942571_predictions
chr10	13300063	13300065	chr10_13300063_13300065_predictions
chr10	133087923	133087925	chr10_133087923_133087925_predictions
chr10	133160218	133160220	chr10_133160218_133160220_predictions
chr10	133230216	133230218	chr10_133230216_133230218_predictions
chr10	133237854	133237856	chr10_133237854_133237856_predictions
chr10	133276867	133276869	chr10_133276867_133276869_predictions
chr10	133308871	133308873	chr10_133308871_133308873_predictions
chr10	133308913	133308915	chr10_133308913_133308915_predictions
chr10	133309409	133309411	chr10_133309409_133309411_predictions
chr10	133336895	133336897	chr10_133336895_133336897_predictions
chr10	133347372	133347374	chr10_133347372_133347374_predictions
chr10	133358018	133358020	chr10_133358018_133358020_predictions
chr10	133373353	133373355	chr10_133373353_133373355_predictions
chr10	133379261	133379263	chr10_133379261_133379263_predictions
chr10	133394156	133394158	chr10_133394156_133394158_predictions
chr10	133424624	133424626	chr10_133424624_133424626_predictions
chr10	133453944	133453946	chr10_133453944_133453946_predictions
chr10	13348292	13348294	chr10_13348292_13348294_predictions
chr10	133527362	133527364	chr10_133527362_133527364_predictions
chr10	133565582	133565584	chr10_133565582_133565584_predictions
chr10	133626794	133626796	chr10_133626794_133626796_predictions
chr10	13529013	13529015	chr10_13529013_13529015_predictions
chr10	135454	135456	chr10_135454_135456_predictions
chr10	13586964	13586966	chr10_13586964_13586966_predictions
chr10	14330923	14330925	chr10_14330923_14330925_predictions
chr10	14774896	14774898	chr10_14774896_14774898_predictions
chr10	14838036	14838038	chr10_14838036_14838038_predictions
chr10	14838305	14838307	chr10_14838305_14838307_predictions
chr10	14878865	14878867	chr10_14878865_14878867_predictions
chr10	14954095	14954097	chr10_14954095_14954097_predictions
chr10	14959387	14959389	chr10_14959387_14959389_predictions
chr10	15043942	15043944	chr10_15043942_15043944_predictions
chr10	15088775	15088777	chr10_15088775_15088777_predictions
chr10	15097354	15097356	chr10_15097354_15097356_predictions
chr10	15168692	15168694	chr10_15168692_15168694_predictions
chr10	15371288	15371290	chr10_15371288_15371290_predictions
chr10	15719921	15719923	chr10_15719921_15719923_predictions
chr10	15860506	15860508	chr10_15860506_15860508_predictions
chr10	16437009	16437011	chr10_16437009_16437011_predictions
chr10	16521878	16521880	chr10_16521878_16521880_predictions
chr10	16817423	16817425	chr10_16817423_16817425_predictions
chr10	17129810	17129812	chr10_17129810_17129812_predictions
chr10	17201671	17201673	chr10_17201671_17201673_predictions
chr10	17228240	17228242	chr10_17228240_17228242_predictions
chr10	1737524	1737526	chr10_1737524_1737526_predictions
chr10	17454594	17454596	chr10_17454594_17454596_predictions
chr10	17617373	17617375	chr10_17617373_17617375_predictions
chr10	17644150	17644152	chr10_17644150_17644152_predictions
chr10	17752200	17752202	chr10_17752200_17752202_predictions
chr10	17809347	17809349	chr10_17809347_17809349_predictions
chr10	17951917	17951919	chr10_17951917_17951919_predictions
chr10	18140423	18140425	chr10_18140423_18140425_predictions
chr10	18651586	18651588	chr10_18651586_18651588_predictions
chr10	18659430	18659432	chr10_18659430_18659432_predictions
chr10	19048800	19048802	chr10_19048800_19048802_predictions
chr10	19816431	19816433	chr10_19816431_19816433_predictions
chr10	20897310	20897312	chr10_20897310_20897312_predictions
chr10	21525681	21525683	chr10_21525681_21525683_predictions
chr10	21534231	21534233	chr10_21534231_21534233_predictions
chr10	22003729	22003731	chr10_22003729_22003731_predictions
chr10	22218014	22218016	chr10_22218014_22218016_predictions
chr10	22316387	22316389	chr10_22316387_22316389_predictions
chr10	22316408	22316410	chr10_22316408_22316410_predictions
chr10	22321098	22321100	chr10_22321098_22321100_predictions
chr10	22345495	22345497	chr10_22345495_22345497_predictions
chr10	22714577	22714579	chr10_22714577_22714579_predictions
chr10	22928052	22928054	chr10_22928052_22928054_predictions
chr10	23095578	23095580	chr10_23095578_23095580_predictions
chr10	23192311	23192313	chr10_23192311_23192313_predictions
chr10	23344796	23344798	chr10_23344796_23344798_predictions
chr10	23439074	23439076	chr10_23439074_23439076_predictions
chr10	24209137	24209139	chr10_24209137_24209139_predictions
chr10	24723886	24723888	chr10_24723886_24723888_predictions
chr10	24952605	24952607	chr10_24952605_24952607_predictions
chr10	25016157	25016159	chr10_25016157_25016159_predictions
chr10	25016611	25016613	chr10_25016611_25016613_predictions
chr10	25175000	25175002	chr10_25175000_25175002_predictions
chr10	25934228	25934230	chr10_25934228_25934230_predictions
chr10	26216773	26216775	chr10_26216773_26216775_predictions
chr10	26438340	26438342	chr10_26438340_26438342_predictions
chr10	26697700	26697702	chr10_26697700_26697702_predictions
chr10	26860957	26860959	chr10_26860957_26860959_predictions
chr10	27100493	27100495	chr10_27100493_27100495_predictions
chr10	27154383	27154385	chr10_27154383_27154385_predictions
chr10	27155351	27155353	chr10_27155351_27155353_predictions
chr10	27240796	27240798	chr10_27240796_27240798_predictions
chr10	27504303	27504305	chr10_27504303_27504305_predictions
chr10	27745818	27745820	chr10_27745818_27745820_predictions
chr10	27999078	27999080	chr10_27999078_27999080_predictions
chr10	28303063	28303065	chr10_28303063_28303065_predictions
chr10	28533117	28533119	chr10_28533117_28533119_predictions
chr10	28677520	28677522	chr10_28677520_28677522_predictions
chr10	29289069	29289071	chr10_29289069_29289071_predictions
chr10	29634970	29634972	chr10_29634970_29634972_predictions
chr10	30059585	30059587	chr10_30059585_30059587_predictions
chr10	30349277	30349279	chr10_30349277_30349279_predictions
chr10	30434183	30434185	chr10_30434183_30434185_predictions
chr10	30629752	30629754	chr10_30629752_30629754_predictions
chr10	3067547	3067549	chr10_3067547_3067549_predictions
chr10	31031864	31031866	chr10_31031864_31031866_predictions
chr10	31319215	31319217	chr10_31319215_31319217_predictions
chr10	3172781	3172783	chr10_3172781_3172783_predictions
chr10	31928830	31928832	chr10_31928830_31928832_predictions
chr10	32056424	32056426	chr10_32056424_32056426_predictions
chr10	32347157	32347159	chr10_32347157_32347159_predictions
chr10	32446139	32446141	chr10_32446139_32446141_predictions
chr10	32958229	32958231	chr10_32958229_32958231_predictions
chr10	33334666	33334668	chr10_33334666_33334668_predictions
chr10	34815295	34815297	chr10_34815295_34815297_predictions
chr10	35090340	35090342	chr10_35090340_35090342_predictions
chr10	35126845	35126847	chr10_35126845_35126847_predictions
chr10	35336508	35336510	chr10_35336508_35336510_predictions
chr10	35605340	35605342	chr10_35605340_35605342_predictions
chr10	35642295	35642297	chr10_35642295_35642297_predictions
chr10	37125597	37125599	chr10_37125597_37125599_predictions
chr10	3785208	3785210	chr10_3785208_3785210_predictions
chr10	37857609	37857611	chr10_37857609_37857611_predictions
chr10	37976646	37976648	chr10_37976646_37976648_predictions
chr10	38010674	38010676	chr10_38010674_38010676_predictions
chr10	38094336	38094338	chr10_38094336_38094338_predictions
chr10	42638569	42638571	chr10_42638569_42638571_predictions
chr10	42782794	42782796	chr10_42782794_42782796_predictions
chr10	43077068	43077070	chr10_43077068_43077070_predictions
chr10	43138444	43138446	chr10_43138444_43138446_predictions
chr10	43267064	43267066	chr10_43267064_43267066_predictions
chr10	43371635	43371637	chr10_43371635_43371637_predictions
chr10	43409185	43409187	chr10_43409185_43409187_predictions
chr10	43437110	43437112	chr10_43437110_43437112_predictions
chr10	43574615	43574617	chr10_43574615_43574617_predictions
chr10	43606437	43606439	chr10_43606437_43606439_predictions
chr10	43648880	43648882	chr10_43648880_43648882_predictions
chr10	44385096	44385098	chr10_44385096_44385098_predictions
chr10	44911336	44911338	chr10_44911336_44911338_predictions
chr10	44959801	44959803	chr10_44959801_44959803_predictions
chr10	44978808	44978810	chr10_44978808_44978810_predictions
chr10	45000922	45000924	chr10_45000922_45000924_predictions
chr10	45315607	45315609	chr10_45315607_45315609_predictions
chr10	45374215	45374217	chr10_45374215_45374217_predictions
chr10	45535370	45535372	chr10_45535370_45535372_predictions
chr10	45672771	45672773	chr10_45672771_45672773_predictions
chr10	45727265	45727267	chr10_45727265_45727267_predictions
chr10	45847499	45847501	chr10_45847499_45847501_predictions
chr10	45972488	45972490	chr10_45972488_45972490_predictions
chr10	46030622	46030624	chr10_46030622_46030624_predictions
chr10	46046268	46046270	chr10_46046268_46046270_predictions
chr10	46286996	46286998	chr10_46286996_46286998_predictions
chr10	46375775	46375777	chr10_46375775_46375777_predictions
chr10	46465957	46465959	chr10_46465957_46465959_predictions
chr10	46556657	46556659	chr10_46556657_46556659_predictions
chr10	46579127	46579129	chr10_46579127_46579129_predictions
chr10	46911427	46911429	chr10_46911427_46911429_predictions
chr10	47300196	47300198	chr10_47300196_47300198_predictions
chr10	47322453	47322455	chr10_47322453_47322455_predictions
chr10	47348362	47348364	chr10_47348362_47348364_predictions
chr10	47384292	47384294	chr10_47384292_47384294_predictions
chr10	47484114	47484116	chr10_47484114_47484116_predictions
chr10	47491699	47491701	chr10_47491699_47491701_predictions
chr10	47523637	47523639	chr10_47523637_47523639_predictions
chr10	47763591	47763593	chr10_47763591_47763593_predictions
chr10	47918661	47918663	chr10_47918661_47918663_predictions
chr10	47999790	47999792	chr10_47999790_47999792_predictions
chr10	4826206	4826208	chr10_4826206_4826208_predictions
chr10	48274695	48274697	chr10_48274695_48274697_predictions
chr10	48306676	48306678	chr10_48306676_48306678_predictions
chr10	48605072	48605074	chr10_48605072_48605074_predictions
chr10	48684872	48684874	chr10_48684872_48684874_predictions
chr10	48939839	48939841	chr10_48939839_48939841_predictions
chr10	49115521	49115523	chr10_49115521_49115523_predictions
chr10	49134020	49134022	chr10_49134020_49134022_predictions
chr10	49188390	49188392	chr10_49188390_49188392_predictions
chr10	49295	49297	chr10_49295_49297_predictions
chr10	49299169	49299171	chr10_49299169_49299171_predictions
chr10	49396088	49396090	chr10_49396088_49396090_predictions
chr10	49539120	49539122	chr10_49539120_49539122_predictions
chr10	49610309	49610311	chr10_49610309_49610311_predictions
chr10	49614036	49614038	chr10_49614036_49614038_predictions
chr10	4963414	4963416	chr10_4963414_4963416_predictions
chr10	49679650	49679652	chr10_49679650_49679652_predictions
chr10	49762322	49762324	chr10_49762322_49762324_predictions
chr10	49942026	49942028	chr10_49942026_49942028_predictions
chr10	49942052	49942054	chr10_49942052_49942054_predictions
chr10	49988405	49988407	chr10_49988405_49988407_predictions
chr10	5003856	5003858	chr10_5003856_5003858_predictions
chr10	50067953	50067955	chr10_50067953_50067955_predictions
chr10	50251515	50251517	chr10_50251515_50251517_predictions
chr10	50623955	50623957	chr10_50623955_50623957_predictions
chr10	50739935	50739937	chr10_50739935_50739937_predictions
chr10	50885626	50885628	chr10_50885626_50885628_predictions
chr10	5094413	5094415	chr10_5094413_5094415_predictions
chr10	51074486	51074488	chr10_51074486_51074488_predictions
chr10	51699594	51699596	chr10_51699594_51699596_predictions
chr10	5185149	5185151	chr10_5185149_5185151_predictions
chr10	5196836	5196838	chr10_5196836_5196838_predictions
chr10	52314280	52314282	chr10_52314280_52314282_predictions
chr10	52772783	52772785	chr10_52772783_52772785_predictions
chr10	5364965	5364967	chr10_5364965_5364967_predictions
chr10	5404827	5404829	chr10_5404827_5404829_predictions
chr10	5412556	5412558	chr10_5412556_5412558_predictions
chr10	54801230	54801232	chr10_54801230_54801232_predictions
chr10	5499569	5499571	chr10_5499569_5499571_predictions
chr10	5524960	5524962	chr10_5524960_5524962_predictions
chr10	56361258	56361260	chr10_56361258_56361260_predictions
chr10	5666594	5666596	chr10_5666594_5666596_predictions
chr10	5684837	5684839	chr10_5684837_5684839_predictions
chr10	5813433	5813435	chr10_5813433_5813435_predictions
chr10	58267893	58267895	chr10_58267893_58267895_predictions
chr10	58269161	58269163	chr10_58269161_58269163_predictions
chr10	58335005	58335007	chr10_58335005_58335007_predictions
chr10	58385409	58385411	chr10_58385409_58385411_predictions
chr10	58512871	58512873	chr10_58512871_58512873_predictions
chr10	5889892	5889894	chr10_5889892_5889894_predictions
chr10	5890242	5890244	chr10_5890242_5890244_predictions
chr10	59176642	59176644	chr10_59176642_59176644_predictions
chr10	59362548	59362550	chr10_59362548_59362550_predictions
chr10	59709849	59709851	chr10_59709849_59709851_predictions
chr10	59753454	59753456	chr10_59753454_59753456_predictions
chr10	5977542	5977544	chr10_5977542_5977544_predictions
chr10	59906555	59906557	chr10_59906555_59906557_predictions
chr10	60389874	60389876	chr10_60389874_60389876_predictions
chr10	6062366	6062368	chr10_6062366_6062368_predictions
chr10	60778477	60778479	chr10_60778477_60778479_predictions
chr10	6089033	6089035	chr10_6089033_6089035_predictions
chr10	60944184	60944186	chr10_60944184_60944186_predictions
chr10	61453380	61453382	chr10_61453380_61453382_predictions
chr10	61662928	61662930	chr10_61662928_61662930_predictions
chr10	61901698	61901700	chr10_61901698_61901700_predictions
chr10	6202931	6202933	chr10_6202931_6202933_predictions
chr10	62268843	62268845	chr10_62268843_62268845_predictions
chr10	62374191	62374193	chr10_62374191_62374193_predictions
chr10	62374368	62374370	chr10_62374368_62374370_predictions
chr10	62804719	62804721	chr10_62804719_62804721_predictions
chr10	62816365	62816367	chr10_62816365_62816367_predictions
chr10	63133327	63133329	chr10_63133327_63133329_predictions
chr10	63465976	63465978	chr10_63465976_63465978_predictions
chr10	63521400	63521402	chr10_63521400_63521402_predictions
chr10	6580275	6580277	chr10_6580275_6580277_predictions
chr10	66926035	66926037	chr10_66926035_66926037_predictions
chr10	66926307	66926309	chr10_66926307_66926309_predictions
chr10	67696194	67696196	chr10_67696194_67696196_predictions
chr10	67838187	67838189	chr10_67838187_67838189_predictions
chr10	67884655	67884657	chr10_67884655_67884657_predictions
chr10	68075282	68075284	chr10_68075282_68075284_predictions
chr10	68109487	68109489	chr10_68109487_68109489_predictions
chr10	68232112	68232114	chr10_68232112_68232114_predictions
chr10	68332063	68332065	chr10_68332063_68332065_predictions
chr10	68332927	68332929	chr10_68332927_68332929_predictions
chr10	68407276	68407278	chr10_68407276_68407278_predictions
chr10	68471972	68471974	chr10_68471972_68471974_predictions
chr10	68527522	68527524	chr10_68527522_68527524_predictions
chr10	68560336	68560338	chr10_68560336_68560338_predictions
chr10	68721238	68721240	chr10_68721238_68721240_predictions
chr10	68827530	68827532	chr10_68827530_68827532_predictions
chr10	68901314	68901316	chr10_68901314_68901316_predictions
chr10	68956169	68956171	chr10_68956169_68956171_predictions
chr10	689667	689669	chr10_689667_689669_predictions
chr10	68988802	68988804	chr10_68988802_68988804_predictions
chr10	69088102	69088104	chr10_69088102_69088104_predictions
chr10	69124177	69124179	chr10_69124177_69124179_predictions
chr10	69180233	69180235	chr10_69180233_69180235_predictions
chr10	69220331	69220333	chr10_69220331_69220333_predictions
chr10	69318846	69318848	chr10_69318846_69318848_predictions
chr10	69416917	69416919	chr10_69416917_69416919_predictions
chr10	69451464	69451466	chr10_69451464_69451466_predictions
chr10	69573421	69573423	chr10_69573421_69573423_predictions
chr10	69630246	69630248	chr10_69630246_69630248_predictions
chr10	69801905	69801907	chr10_69801905_69801907_predictions
chr10	70052845	70052847	chr10_70052845_70052847_predictions
chr10	70132824	70132826	chr10_70132824_70132826_predictions
chr10	70146699	70146701	chr10_70146699_70146701_predictions
chr10	70170513	70170515	chr10_70170513_70170515_predictions
chr10	70233428	70233430	chr10_70233428_70233430_predictions
chr10	70284003	70284005	chr10_70284003_70284005_predictions
chr10	70382624	70382626	chr10_70382624_70382626_predictions
chr10	70404144	70404146	chr10_70404144_70404146_predictions
chr10	70441680	70441682	chr10_70441680_70441682_predictions
chr10	70478766	70478768	chr10_70478766_70478768_predictions
chr10	70602740	70602742	chr10_70602740_70602742_predictions
